directory,file_name,column_name,unit,unit_basis,method_id,method_id_storage,method_id_preparation,method_id_preservation,method_id_analysis,method_id_dataprocessing,method_id_deployment,method_id_calibration,analysis_detection_limit,analysis_precision,data_status
C:\Brieanne\GitHub\rcsfa-data_processing_for_publication\Data_Package_Documentation\Harmonization_FY26\Test_Data_Package,v2_HydroRF_Template_DataFile_unformatted_Formatted_2025-09-19.csv.csv,datetime,YYYY-MM-DD hh:mm UTC-02:00,N/A,,water_column_01_storage,water_column_01_preparation,water_column_01_preservation,water_column_01_analysis,water_column_01_dataprocessing,,,-9999,-9999,L1
C:\Brieanne\GitHub\rcsfa-data_processing_for_publication\Data_Package_Documentation\Harmonization_FY26\Test_Data_Package,v2_HydroRF_Template_DataFile_unformatted_Formatted_2025-09-19.csv.csv,pH,pH,as_pH,,water_column_01_storage,water_column_01_preparation,water_column_01_preservation,water_column_01_analysis,water_column_01_dataprocessing,,,3,0.5,L1
C:\Brieanne\GitHub\rcsfa-data_processing_for_publication\Data_Package_Documentation\Harmonization_FY26\Test_Data_Package,v2_HydroRF_Template_DataFile_unformatted_Formatted_2025-09-19.csv.csv,Dissolved_Oxygen,milligrams per liter,as_dissolved_oxygen,,water_column_01_storage,water_column_01_preparation,water_column_01_preservation,water_column_01_analysis,water_column_01_dataprocessing,,,0.05,0.01,L1
C:\Brieanne\GitHub\rcsfa-data_processing_for_publication\Data_Package_Documentation\Harmonization_FY26\Test_Data_Package,v2_WSSChemRF_Template_DataFile_unformatted.csv,NPOC,milligrams per liter,as_dissolvable_Carbon,NPOC_T_005,NPOC_T_ST_006,NPOC_T_PREP_006,NPOC_T_PRES_006,NPOC_T_AN_006,NPOC_T_DP_006,,,0.09-0.51,-9999,ready_to_use
C:\Brieanne\GitHub\rcsfa-data_processing_for_publication\Data_Package_Documentation\Harmonization_FY26\Test_Data_Package,v2_WSSChemRF_Template_DataFile_unformatted.csv,TN,milligrams per liter,as_dissolvable_Nitrogen,TN_T_005,TN_T_ST_006,TN_T_PREP_006,TN_T_PRES_006,TN_T_AN_006,TN_T_DP_006,,,0.01-0.03,-9999,ready_to_use
