archived_dd_flmd,sans_dir,date_file_modified,airtable_title,exclude
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/2023_04_Roebuck/SPS_Roebuck_Data_Package/SPS_Roebuck_dd.csv,/2023_04_Roebuck/SPS_Roebuck_Data_Package/SPS_Roebuck_dd.csv,2023-06-23,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/2023_04_Roebuck/SPS_Roebuck_Data_Package/SPS_Roebuck_flmd.csv,/2023_04_Roebuck/SPS_Roebuck_Data_Package/SPS_Roebuck_flmd.csv,2023-06-27,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package/BSLE_Data_Package/BSLE_dd.csv,/BSLE_Data_Package/BSLE_Data_Package/BSLE_dd.csv,2022-10-17,Burn Severity Experiments V1,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package/BSLE_Data_Package/BSLE_flmd.csv,/BSLE_Data_Package/BSLE_Data_Package/BSLE_flmd.csv,2022-10-18,Burn Severity Experiments V1,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package_v3/v3_BSLE_Data_Package/v3_BSLE_dd.csv,/BSLE_Data_Package_v3/v3_BSLE_Data_Package/v3_BSLE_dd.csv,2023-11-13,Burn Severity Experiments V3,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package_v3/v3_BSLE_Data_Package/v3_BSLE_flmd.csv,/BSLE_Data_Package_v3/v3_BSLE_Data_Package/v3_BSLE_flmd.csv,2023-11-13,Burn Severity Experiments V3,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package_v4/v4_BSLE_Data_Package/v4_BSLE_dd.csv,/BSLE_Data_Package_v4/v4_BSLE_Data_Package/v4_BSLE_dd.csv,2024-10-17,Burn Severity Experiments V4,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package_v4/v4_BSLE_Data_Package/v4_BSLE_flmd.csv,/BSLE_Data_Package_v4/v4_BSLE_Data_Package/v4_BSLE_flmd.csv,2024-08-26,Burn Severity Experiments V4,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/BTRS19_Metadata_for_publishing_dd.csv,/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/BTRS19_Metadata_for_publishing_dd.csv,2021-06-28,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/BTRS19_Report_dd.csv,/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/BTRS19_Report_dd.csv,2021-06-28,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/FLMD_dd.csv,/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/FLMD_dd.csv,2021-06-03,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/Processed_BTRS19_CONUS_1-27_newcode_dd.csv,/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/Processed_BTRS19_CONUS_1-27_newcode_dd.csv,2021-09-28,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/Processed_S19S_Sediments_Water_2-2_newcode_dd.csv,/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/Processed_S19S_Sediments_Water_2-2_newcode_dd.csv,2021-09-28,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/WHONDRS_S19S_Metadata_v2_dd.csv,/Chemogeography_2021/Chemogeography_Data_package_2021/Data_Dictionaries/WHONDRS_S19S_Metadata_v2_dd.csv,2021-05-28,,TRUE
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v1/CM_SSS_Data_Package/CM_SSS_dd.csv,/CM_SSS_Data_Package_v1/CM_SSS_Data_Package/CM_SSS_dd.csv,2023-02-03,ICON-ModEx/SSS v1,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v1/CM_SSS_Data_Package/CM_SSS_flmd.csv,/CM_SSS_Data_Package_v1/CM_SSS_Data_Package/CM_SSS_flmd.csv,2023-02-03,ICON-ModEx/SSS v1,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v2/v2_CM_SSS_Data_Package/v2_CM_SSS_dd.csv,/CM_SSS_Data_Package_v2/v2_CM_SSS_Data_Package/v2_CM_SSS_dd.csv,2023-06-19,ICON-ModEx/SSS v2,
Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v2/v2_CM_SSS_Data_Package/v2_CM_SSS_flmd.csv,/CM_SSS_Data_Package_v2/v2_CM_SSS_Data_Package/v2_CM_SSS_flmd.csv,2023-06-16,ICON-ModEx/SSS v2,
